Screen Name,Success,Setups
Shotgun,43.66751563,4366
c3_5,40.72580645,252
MemGold_C3_2018,39.63963964,333
Memgold2_C3_2018,38.78787879,165
Morpheus_C3,38.14814815,276
c3_3,37.89473684,485
JCSG+_C3,37.68200349,1717
PI_PI2_C3,37.0292887,479
c3_2,33.62831858,228
Index_C3,32.45492372,724
c3_6,31.97674419,174
ProPlex_C3,31.78170144,625
PACT_C3,31.42138365,3982
CS_CS2_Com1_C3,30.78651685,445
Cubic_C3,30.43478261,115
c3_3_Oct-08_to_Oct-18,30.08130081,870
c3_4,29.62962963,340
c3_2_Oct-08_to_Oct-18,29.0936786,1313
c3_4_Oct-08_to_Oct-18,28.17337461,1292
PSS_1_Com5_C3,26.43051771,367
WI_WII_Com2_C3,25.90163934,305
c3_1,24.84076433,159
Morpheus_C3_pre_23092016,24.47552448,143
PSS_2_Com6_C3,22.75280899,356
c3_6_Oct-08_to_Oct-18,22.69439421,1106
c3_1_Oct-08_to_Oct-18,21.875,1056
PI_Quik_MPD_Com4_C3,21.40077821,257
c3_5_Oct-08_to_Oct-18,20.81316554,1033
PS gradient,20.65217391,1106
c3_7_Oct-08_to_Oct-18,15.63218391,870
c3_8_Oct-08_to_Oct-18,10.84337349,747
