Name,Alias
"(2-hydroxypropyl)-beta-cyclodextrin","(2-hydroxypropyl)-beta-cyclodextrin"
"(2-hydroxypropyl)-b-cyclodextrin","(2-hydroxypropyl)-beta-cyclodextrin"
"hp-beta-cd","(2-hydroxypropyl)-beta-cyclodextrin"
"06:0 pc (dhpc)","06:0 pc (dhpc)"
"1,2-dihexanoyl-sn-glycero-3-phosphocholine","06:0 pc (dhpc)"
"07:0 pc (dhpc)","07:0 pc (dhpc)"
"1,2-diheptanoyl-sn-glycero-3-phosphocholine","07:0 pc (dhpc)"
"dhpcpc(7:0/7:0)","07:0 pc (dhpc)"
"1,1,1,3,3,3-hexafluoro-2-propanol","1,1,1,3,3,3-hexafluoro-2-propanol"
"hfip","1,1,1,3,3,3-hexafluoro-2-propanol"
"hexafluoro 2-propanol","1,1,1,3,3,3-hexafluoro-2-propanol"
"hexafluoroisopropanol","1,1,1,3,3,3-hexafluoro-2-propanol"
"1,1,1-tris(hydroxymethyl)propane","1,1,1-tris(hydroxymethyl)propane"
"2-(hydroxymethyl)-2-ethylpropane-1,3-diol","1,1,1-tris(hydroxymethyl)propane"
"2-ethyl-2-hydroxymethyl-1,3-propanediol","1,1,1-tris(hydroxymethyl)propane"
"trimethylolpropane","1,1,1-tris(hydroxymethyl)propane"
"trimethylpropane","1,1,1-tris(hydroxymethyl)propane"
"1,2,3-heptanetriol","1,2,3-heptanetriol"
"1,2,3 heptanetriol","1,2,3-heptanetriol"
"1,2,3-hexanetriol","1,2,3-hexanetriol"
"ht","1,2,3-hexanetriol"
"hexane-1,2,3-triol","1,2,3-hexanetriol"
"1,2,4-butanetriol","1,2,4-butanetriol"
"1,2,4-trihydroxybutane","1,2,4-butanetriol"
"2-deoxyerthritol","1,2,4-butanetriol"
"triol 124","1,2,4-butanetriol"
"1,2,6-hexanetriol","1,2,6-hexanetriol"
"1,2,6-trihydroxyhexane","1,2,6-hexanetriol"
"1,2-butanediol","1,2-butanediol"
"1,2-butylene glycol","1,2-butanediol"
"1,2-dihydroxybutane","1,2-butanediol"
"1,2-cyclohexanedicarboxylic acid","1,2-cyclohexanedicarboxylic acid"
"trans-1,2-cyclohexanedicarboxylic acid","1,2-cyclohexanedicarboxylic acid"
"1,2-diaminocyclohexane sulfate","1,2-diaminocyclohexane sulfate"
"1,2-hexanediol","1,2-hexanediol"
"1,2-dihydroxyhexane","1,2-hexanediol"
"hexane-1,2-diol","1,2-hexanediol"
"1,2-propanediol","1,2-propanediol"
"(r,s)-1,2-propanediol","1,2-propanediol"
"1,2 propanediol","1,2-propanediol"
"propanediol","1,2-propanediol"
"propylene glycol","1,2-propanediol"
"1,3,5-pentanetricarboxylic acid","1,3,5-pentanetricarboxylic acid"
"1,3,5-tricarboxypentane","1,3,5-pentanetricarboxylic acid"
"4-carboxypimelic acid","1,3,5-pentanetricarboxylic acid"
"octric acid","1,3,5-pentanetricarboxylic acid"
"pentane-1,3,5-tricarboxylic acid","1,3,5-pentanetricarboxylic acid"
"1,3-butanediol","1,3-butanediol"
"(+)-1,3 butanediol","1,3-butanediol"
"1,3 butanediol","1,3-butanediol"
"1,3-butylene glycol","1,3-butanediol"
"1,3-dimethylimidazolium dimethylphosphate","1,3-dimethylimidazolium dimethylphosphate"
"1,3-dimethylimidazolium dimethyl phosphate","1,3-dimethylimidazolium dimethylphosphate"
"mmimdmp","1,3-dimethylimidazolium dimethylphosphate"
"1,3-dimethylimidazolium methylsulfate","1,3-dimethylimidazolium methylsulfate"
"1,3-dimethylimidazolium methyl sulfate","1,3-dimethylimidazolium methylsulfate"
"dmimmeso4","1,3-dimethylimidazolium methylsulfate"
"1,3-propanediol","1,3-propanediol"
"1,3 propanediol","1,3-propanediol"
"1,3-dihydroxypropane","1,3-propanediol"
"1,3-propandiol","1,3-propanediol"
"trimethylene glycol","1,3-propanediol"
"1,4-butanediol","1,4-butanediol"
"1,4 butanediol","1,4-butanediol"
"1,4-butylene glycol","1,4-butanediol"
"tetramethylene glycol","1,4-butanediol"
"1,4-cyclohexanedicarboxylic acid","1,4-cyclohexanedicarboxylic acid"
"1,4-chda-hp","1,4-cyclohexanedicarboxylic acid"
"1,4-dicarboxycyclohexane","1,4-cyclohexanedicarboxylic acid"
